,Date,Species,Latitude,Longitude,NumMosquitos,WnvPresent,Year,Month,Day
0,2007-05-29,CULEX PIPIENS,41.731922,-87.677512,1,0,2007,5,29
1,2007-05-29,CULEX PIPIENS/RESTUANS,41.688324,-87.676709,1,0,2007,5,29
2,2007-05-29,CULEX PIPIENS/RESTUANS,41.867108,-87.654224,1,0,2007,5,29
3,2007-05-29,CULEX PIPIENS/RESTUANS,41.891126,-87.61156,1,0,2007,5,29
4,2007-05-29,CULEX PIPIENS/RESTUANS,41.919343,-87.694259,1,0,2007,5,29
5,2007-05-29,CULEX PIPIENS/RESTUANS,41.921965,-87.632085,2,0,2007,5,29
6,2007-05-29,CULEX PIPIENS/RESTUANS,41.95469,-87.800991,1,0,2007,5,29
7,2007-05-29,CULEX PIPIENS/RESTUANS,41.974089,-87.824812,1,0,2007,5,29
8,2007-05-29,CULEX PIPIENS/RESTUANS,41.999129,-87.795585,1,0,2007,5,29
9,2007-05-29,CULEX PIPIENS/RESTUANS,42.01743,-87.687769,1,0,2007,5,29
10,2007-05-29,CULEX RESTUANS,41.688324,-87.676709,1,0,2007,5,29
11,2007-05-29,CULEX RESTUANS,41.720848,-87.666014,3,0,2007,5,29
12,2007-05-29,CULEX RESTUANS,41.731922,-87.677512,5,0,2007,5,29
13,2007-05-29,CULEX RESTUANS,41.732984,-87.649642,1,0,2007,5,29
14,2007-05-29,CULEX RESTUANS,41.862292,-87.64886,1,0,2007,5,29
15,2007-05-29,CULEX RESTUANS,41.867108,-87.654224,2,0,2007,5,29
16,2007-05-29,CULEX RESTUANS,41.891118,-87.654491,1,0,2007,5,29
17,2007-05-29,CULEX RESTUANS,41.891126,-87.61156,2,0,2007,5,29
18,2007-05-29,CULEX RESTUANS,41.896282,-87.655232,1,0,2007,5,29
19,2007-05-29,CULEX RESTUANS,41.907645,-87.760886,1,0,2007,5,29
20,2007-05-29,CULEX RESTUANS,41.9216,-87.666455,2,0,2007,5,29
21,2007-05-29,CULEX RESTUANS,41.921965,-87.632085,3,0,2007,5,29
22,2007-05-29,CULEX RESTUANS,41.95469,-87.800991,1,0,2007,5,29
23,2007-05-29,CULEX RESTUANS,41.974089,-87.824812,4,0,2007,5,29
24,2007-05-29,CULEX RESTUANS,41.994991,-87.769279,1,0,2007,5,29
25,2007-06-05,CULEX PIPIENS,41.662014,-87.724608,1,0,2007,6,5
26,2007-06-05,CULEX PIPIENS,41.731922,-87.677512,1,0,2007,6,5
27,2007-06-05,CULEX PIPIENS,41.867108,-87.654224,2,0,2007,6,5
28,2007-06-05,CULEX PIPIENS,41.9216,-87.666455,1,0,2007,6,5
29,2007-06-05,CULEX PIPIENS,41.95469,-87.800991,1,0,2007,6,5
30,2007-06-05,CULEX PIPIENS/RESTUANS,41.662014,-87.724608,2,0,2007,6,5
31,2007-06-05,CULEX PIPIENS/RESTUANS,41.682587,-87.707973,3,0,2007,6,5
32,2007-06-05,CULEX PIPIENS/RESTUANS,41.720848,-87.666014,2,0,2007,6,5
33,2007-06-05,CULEX PIPIENS/RESTUANS,41.725517,-87.614258,1,0,2007,6,5
34,2007-06-05,CULEX PIPIENS/RESTUANS,41.731922,-87.677512,1,0,2007,6,5
35,2007-06-05,CULEX PIPIENS/RESTUANS,41.801498,-87.763416,1,0,2007,6,5
36,2007-06-05,CULEX PIPIENS/RESTUANS,41.867108,-87.654224,1,0,2007,6,5
37,2007-06-05,CULEX PIPIENS/RESTUANS,41.868077,-87.666901,1,0,2007,6,5
38,2007-06-05,CULEX PIPIENS/RESTUANS,41.869216,-87.627561,1,0,2007,6,5
39,2007-06-05,CULEX PIPIENS/RESTUANS,41.916265,-87.800515,1,0,2007,6,5
40,2007-06-05,CULEX PIPIENS/RESTUANS,41.919343,-87.694259,1,0,2007,6,5
41,2007-06-05,CULEX PIPIENS/RESTUANS,41.9216,-87.666455,1,0,2007,6,5
42,2007-06-05,CULEX PIPIENS/RESTUANS,41.948167,-87.730698,2,0,2007,6,5
43,2007-06-05,CULEX PIPIENS/RESTUANS,41.953067,-87.776792,1,0,2007,6,5
44,2007-06-05,CULEX PIPIENS/RESTUANS,41.95469,-87.800991,3,0,2007,6,5
45,2007-06-05,CULEX PIPIENS/RESTUANS,41.958271,-87.702575,1,0,2007,6,5
46,2007-06-05,CULEX PIPIENS/RESTUANS,41.961743,-87.76007,1,0,2007,6,5
47,2007-06-05,CULEX PIPIENS/RESTUANS,41.974089,-87.824812,1,0,2007,6,5
48,2007-06-05,CULEX PIPIENS/RESTUANS,41.994469,-87.667736,1,0,2007,6,5
49,2007-06-05,CULEX PIPIENS/RESTUANS,41.999129,-87.795585,2,0,2007,6,5
50,2007-06-05,CULEX RESTUANS,41.662014,-87.724608,4,0,2007,6,5
51,2007-06-05,CULEX RESTUANS,41.682587,-87.707973,8,0,2007,6,5
52,2007-06-05,CULEX RESTUANS,41.688324,-87.676709,4,0,2007,6,5
53,2007-06-05,CULEX RESTUANS,41.723195,-87.64997,1,0,2007,6,5
54,2007-06-05,CULEX RESTUANS,41.731922,-87.677512,1,0,2007,6,5
55,2007-06-05,CULEX RESTUANS,41.732984,-87.649642,1,0,2007,6,5
