,Date,Latitude,Longitude,geometry
95,2011-09-07,41.9814333333333,-87.7877766666667,POINT (-87.7877766666667 41.9814333333333)
96,2011-09-07,41.9809983333333,-87.7877783333333,POINT (-87.7877783333333 41.9809983333333)
97,2011-09-07,41.98056,-87.7877616666667,POINT (-87.7877616666667 41.98056)
98,2011-09-07,41.9801983333333,-87.7877583333333,POINT (-87.7877583333333 41.9801983333333)
99,2011-09-07,41.9797516666667,-87.787765,POINT (-87.787765 41.9797516666667)
100,2011-09-07,41.9793516666667,-87.7877533333333,POINT (-87.7877533333333 41.9793516666667)
101,2011-09-07,41.97885,-87.7877633333333,POINT (-87.7877633333333 41.97885)
102,2011-09-07,41.9783983333333,-87.7877733333333,POINT (-87.7877733333333 41.9783983333333)
103,2011-09-07,41.97799,-87.78776,POINT (-87.78776 41.97799)
104,2011-09-07,41.977495,-87.7877783333333,POINT (-87.7877783333333 41.977495)
105,2011-09-07,41.9753733333333,-87.7878366666667,POINT (-87.7878366666667 41.9753733333333)
106,2011-09-07,41.9748233333333,-87.7878416666667,POINT (-87.7878416666667 41.9748233333333)
107,2011-09-07,41.9742833333333,-87.7878666666667,POINT (-87.7878666666667 41.9742833333333)
108,2011-09-07,41.97381,-87.78788,POINT (-87.78788 41.97381)
109,2011-09-07,41.9733533333333,-87.78788,POINT (-87.78788 41.9733533333333)
110,2011-09-07,41.972905,-87.7878933333333,POINT (-87.7878933333333 41.972905)
111,2011-09-07,41.9724466666667,-87.7878933333333,POINT (-87.7878933333333 41.9724466666667)
112,2011-09-07,41.9719183333333,-87.7879216666667,POINT (-87.7879216666667 41.9719183333333)
113,2011-09-07,41.9713833333333,-87.7879283333333,POINT (-87.7879283333333 41.9713833333333)
114,2011-09-07,41.9708983333333,-87.78792,POINT (-87.78792 41.9708983333333)
115,2011-09-07,41.9704,-87.7879466666667,POINT (-87.7879466666667 41.9704)
116,2011-09-07,41.96987,-87.7879616666667,POINT (-87.7879616666667 41.96987)
117,2011-09-07,41.96934,-87.7879783333333,POINT (-87.7879783333333 41.96934)
118,2011-09-07,41.9685533333333,-87.788695,POINT (-87.788695 41.9685533333333)
119,2011-09-07,41.9685566666667,-87.7891083333333,POINT (-87.7891083333333 41.9685566666667)
120,2011-09-07,41.9687633333333,-87.7891483333333,POINT (-87.7891483333333 41.9687633333333)
121,2011-09-07,41.9688666666667,-87.789165,POINT (-87.789165 41.9688666666667)
122,2011-09-07,41.969145,-87.7891766666667,POINT (-87.7891766666667 41.969145)
123,2011-09-07,41.9694216666667,-87.7892016666667,POINT (-87.7892016666667 41.9694216666667)
124,2011-09-07,41.9696916666667,-87.7892033333333,POINT (-87.7892033333333 41.9696916666667)
125,2011-09-07,41.9702533333333,-87.7892466666667,POINT (-87.7892466666667 41.9702533333333)
126,2011-09-07,41.9706483333333,-87.7892433333333,POINT (-87.7892433333333 41.9706483333333)
127,2011-09-07,41.9709966666667,-87.7892333333333,POINT (-87.7892333333333 41.9709966666667)
128,2011-09-07,41.9713833333333,-87.789225,POINT (-87.789225 41.9713833333333)
129,2011-09-07,41.97171,-87.7892266666667,POINT (-87.7892266666667 41.97171)
130,2011-09-07,41.972065,-87.7892483333333,POINT (-87.7892483333333 41.972065)
131,2011-09-07,41.972455,-87.7892433333333,POINT (-87.7892433333333 41.972455)
132,2011-09-07,41.97281,-87.7892466666667,POINT (-87.7892466666667 41.97281)
133,2011-09-07,41.9731466666667,-87.7892366666667,POINT (-87.7892366666667 41.9731466666667)
134,2011-09-07,41.9734183333333,-87.7892183333333,POINT (-87.7892183333333 41.9734183333333)
135,2011-09-07,41.9741016666667,-87.7892283333333,POINT (-87.7892283333333 41.9741016666667)
136,2011-09-07,41.9745866666667,-87.7892166666667,POINT (-87.7892166666667 41.9745866666667)
137,2011-09-07,41.9749483333333,-87.7892083333333,POINT (-87.7892083333333 41.9749483333333)
138,2011-09-07,41.9754666666667,-87.7891733333333,POINT (-87.7891733333333 41.9754666666667)
139,2011-09-07,41.9759533333333,-87.78916,POINT (-87.78916 41.9759533333333)
140,2011-09-07,41.9764283333333,-87.7891383333333,POINT (-87.7891383333333 41.9764283333333)
141,2011-09-07,41.9768066666667,-87.7891483333333,POINT (-87.7891483333333 41.9768066666667)
142,2011-09-07,41.9771966666667,-87.78914,POINT (-87.78914 41.9771966666667)
143,2011-09-07,41.9775283333333,-87.7891566666667,POINT (-87.7891566666667 41.9775283333333)
144,2011-09-07,41.9779583333333,-87.7891516666667,POINT (-87.7891516666667 41.9779583333333)
145,2011-09-07,41.97835,-87.7891633333333,POINT (-87.7891633333333 41.97835)
146,2011-09-07,41.978745,-87.7891433333333,POINT (-87.7891433333333 41.978745)
147,2011-09-07,41.97916,-87.7891316666667,POINT (-87.7891316666667 41.97916)
148,2011-09-07,41.9799,-87.789125,POINT (-87.789125 41.9799)
149,2011-09-07,41.9804133333333,-87.7891183333333,POINT (-87.7891183333333 41.9804133333333)
150,2011-09-07,41.980715,-87.7897016666667,POINT (-87.7897016666667 41.980715)
151,2011-09-07,41.9807516666667,-87.79012,POINT (-87.79012 41.9807516666667)
152,2011-09-07,41.980585,-87.7902266666667,POINT (-87.7902266666667 41.980585)
153,2011-09-07,41.9802516666667,-87.7902133333333,POINT (-87.7902133333333 41.9802516666667)
154,2011-09-07,41.97995,-87.7902183333333,POINT (-87.7902183333333 41.97995)
155,2011-09-07,41.9795966666667,-87.7902083333333,POINT (-87.7902083333333 41.9795966666667)
156,2011-09-07,41.9793116666667,-87.790195,POINT (-87.790195 41.9793116666667)
157,2011-09-07,41.979005,-87.7902033333333,POINT (-87.7902033333333 41.979005)
158,2011-09-07,41.9786366666667,-87.7902016666667,POINT (-87.7902016666667 41.9786366666667)
159,2011-09-07,41.9783316666667,-87.7901983333333,POINT (-87.7901983333333 41.9783316666667)
160,2011-09-07,41.97771,-87.790205,POINT (-87.790205 41.97771)
161,2011-09-07,41.9773433333333,-87.7902133333333,POINT (-87.7902133333333 41.9773433333333)
162,2011-09-07,41.9771066666667,-87.7902366666667,POINT (-87.7902366666667 41.9771066666667)
163,2011-09-07,41.9767066666667,-87.7902233333333,POINT (-87.7902233333333 41.9767066666667)
164,2011-09-07,41.9762983333333,-87.79024,POINT (-87.79024 41.9762983333333)
165,2011-09-07,41.975905,-87.7902516666667,POINT (-87.7902516666667 41.975905)
166,2011-09-07,41.9755883333333,-87.7902416666667,POINT (-87.7902416666667 41.9755883333333)
167,2011-09-07,41.97526,-87.790225,POINT (-87.790225 41.97526)
168,2011-09-07,41.9748033333333,-87.7902466666667,POINT (-87.7902466666667 41.9748033333333)
169,2011-09-07,41.97428,-87.7902433333333,POINT (-87.7902433333333 41.97428)
170,2011-09-07,41.973785,-87.790255,POINT (-87.790255 41.973785)
171,2011-09-07,41.973175,-87.7902683333333,POINT (-87.7902683333333 41.973175)
172,2011-09-07,41.972635,-87.79028,POINT (-87.79028 41.972635)
173,2011-09-07,41.9722583333333,-87.7902966666667,POINT (-87.7902966666667 41.9722583333333)
174,2011-09-07,41.9717033333333,-87.7903133333333,POINT (-87.7903133333333 41.9717033333333)
175,2011-09-07,41.97111,-87.7903216666667,POINT (-87.7903216666667 41.97111)
176,2011-09-07,41.9706166666667,-87.79034,POINT (-87.79034 41.9706166666667)
177,2011-09-07,41.970415,-87.7904883333333,POINT (-87.7904883333333 41.970415)
178,2011-09-07,41.9708983333333,-87.7915066666667,POINT (-87.7915066666667 41.9708983333333)
179,2011-09-07,41.971325,-87.7915033333333,POINT (-87.7915033333333 41.971325)
180,2011-09-07,41.9717933333333,-87.791505,POINT (-87.791505 41.9717933333333)
181,2011-09-07,41.9722316666667,-87.7915216666667,POINT (-87.7915216666667 41.9722316666667)
